Date,tbl_liquidity_index,tbl_liquidity_30d_change,S&P 500,Bitcoin
2024-04-07,53.7851243,-1.08781,5204.34,69362.55
2024-04-06,53.7851243,-0.5943,5204.34,68896.11
2024-04-05,53.7442687,-0.53472,5204.34,67837.64
2024-04-04,53.6227859,0.283307,5147.21,68508.84
2024-04-03,53.365138,0.02266,5211.49,65980.81
2024-04-02,53.6020664,-0.16808,5205.81,65446.97
2024-04-01,53.9884084,0.218265,5243.77,69702.15
2024-03-31,55.3454203,1.391634,5254.35,71333.65
2024-03-30,55.2870972,1.905259,5254.35,69645.31
2024-03-29,55.3052707,1.766718,5254.35,69892.83
2024-03-28,55.3967954,2.170164,5254.35,70744.95
2024-03-27,55.3833244,2.02924,5248.49,69455.34
2024-03-26,54.8342512,1.159289,5203.58,69987.84
2024-03-25,54.4669753,0.792013,5218.19,69958.81
2024-03-24,54.6796898,1.176564,5234.18,67234.17
2024-03-23,54.6796898,2.151223,5234.18,64062.2
2024-03-22,54.5952346,1.936351,5234.18,63778.76
2024-03-21,54.6683838,1.74511,5241.53,65491.39
2024-03-20,54.8441879,1.766115,5224.62,67913.67
2024-03-19,53.6880901,0.595682,5178.51,61912.77
2024-03-18,53.3101156,0.217707,5149.42,67548.59
2024-03-17,54.028447,0.898071,5117.09,68390.62
2024-03-16,54.028447,1.254643,5117.09,65315.12
2024-03-15,54.2928527,1.747232,5117.09,69403.77
2024-03-14,54.1257559,1.87331,5150.48,71396.59
2024-03-13,54.5658597,1.528391,5165.31,73083.5
2024-03-12,53.8719943,0.375377,5175.27,71481.29
2024-03-11,53.7274752,0.230858,5117.94,72123.9
2024-03-10,54.518566,1.148574,5123.69,69019.79
2024-03-09,54.518566,1.480978,5123.69,68498.88
2024-03-08,54.8729345,1.624309,5123.69,68300.1
2024-03-07,54.3794233,1.493629,5157.36,66925.48
2024-03-06,54.2789838,1.509727,5104.76,66106.8
2024-03-05,53.3394793,0.104273,5078.65,63801.2
2024-03-04,53.3424784,0.107272,5130.95,68330.42
2024-03-03,53.7701433,0.857449,5137.08,63167.37
2024-03-02,53.7701433,1.584093,5137.08,62029.85
2024-03-01,53.9537862,0.83005,5137.08,62440.63
2024-02-29,53.381838,-0.10221,5096.27,61198.38
2024-02-28,53.5385528,0.464294,5069.76,62504.79
2024-02-27,53.2266311,-0.62832,5078.18,57085.37
2024-02-26,53.3540846,-0.50087,5069.53,54522.4
2024-02-25,53.6749625,-0.14587,5088.8,51733.24
2024-02-24,53.6749625,0.675536,5088.8,51571.1
2024-02-23,53.5031259,0.441132,5088.8,50731.95
2024-02-22,52.5284665,-0.37367,5087.03,51304.97
